
title,category,subcategory,region,subRegion,location,notes,_sheet,slug,tags,prerequisites,weight
Gatefront,SoG/Location,' ',,,West Limgrave,"From the Church of Elleh, head through the cracked wall and North/East along the dirt road. Follow this until you see the ruins over the hill, and head toward the large gate to the left of these ruins",Base Game,gatefront-west-limgrave,base-game,' ',1.0
Melina,NPC,' ',,,West Limgrave,Found when resting at the Gatefront Ruins SoG for the first time. Accept her proposal. She will give you the Spectral Steed Whistle,Base Game,melina-west-limgrave,base-game,' ',1.0
Spectral Steed Whistle,Mount,' ',,,West Limgrave,Given to player by speaking to Melina at the Gatefront Ruins SoG,Base Game,spectral-steed-whistle-west-limgrave,base-game,' ',1.0
Lordsworn's Greatsword,Greatsword,' ',,,Gatefront Ruins,"In chest on back of wagon, Northwest part of the Gatefront Ruins",Base Game,lordsworn-s-greatsword-gatefront-ruins,base-game,' ',1.0
Map: Limgrave West,Map,' ',,,Gatefront Ruins,Found near pillar from Agheel Lake North,Base Game,map-limgrave-west-gatefront-ruins,base-game,' ',1.0
Ash of War: Storm Stomp,Ash of War,' ',,,Gatefront Ruins,"In Cellar, South part of the Gatefront Ruins",Base Game,ash-of-war-storm-stomp-gatefront-ruins,base-game,' ',1.0
Whestone Knife,Key Item,' ',,,Gatefront Ruins,"In Cellar, South part of the Gatefront Ruins",Base Game,whestone-knife-gatefront-ruins,base-game,' ',1.0
Flail,Flail,' ',,,Gatefront Ruins,"In chest on the back of wagon, Northeast part of the Gatefront Ruins",Base Game,flail-gatefront-ruins,base-game,' ',1.0
Agheel Lake North,SoG/Location,' ',,,West Limgrave,East side of the Gatefront Ruins,Base Game,agheel-lake-north-west-limgrave,base-game,' ',1.0
Ranni,NPC,' ',,,West Limgrave,Warp back after getting Torrent to speak to Renna (Ranni). Exhaust Dialogue to get Spirit Calling Bell and Lone Wolf Ashes. Continue exhausting dialogue until she disappears,Base Game,ranni-west-limgrave,base-game,' ',1.0
Spirit Calling Bell,Key Item,' ',,,Church of Elleh,Received from Ranni when you first meet her at the Church of Elleh,Base Game,spirit-calling-bell-church-of-elleh,base-game,' ',1.0
Lone Wolf Ashes,Spirit Ashes,' ',,,Church of Elleh,Received from Ranni when you first meet her at the Church of Elleh,Base Game,lone-wolf-ashes-church-of-elleh,base-game,' ',1.0
Melina,NPC,' ',,,Chuch of Elleh,Rest at Church of Elleh SoG and speak to Melina,Base Game,melina-chuch-of-elleh,base-game,' ',1.0
Kale,NPC,' ',,,Church of Elleh,Speak to Kale to hear about the merchants and some lore,Base Game,kale-church-of-elleh,base-game,' ',1.0
Boc,NPC,' ',,,West Limgrave,"Head Southeast from the Agheel Lake North SoG. Between bridge and telescope, roll into a little tree to reveal Boc",Base Game,boc-west-limgrave,base-game,' ',1.0
Ash of War: Determination,Ash of War,' ',,,West Limgrave,Head Southeast from the Agheel Lake North SoG. Near the bridge you can find a scarab to kill for this Ash of War,Base Game,ash-of-war-determination-west-limgrave,base-game,' ',1.0
Mistwood Outskirts,SoG/Location,' ',,,East Limgrave,"From Agheel Lake North, head Southeast past where you found Boc and the Ash of War Scarab and go across the bridge. Once across, head North/Northeast along the road. Will be just to the right of the road near a boulder",Base Game,mistwood-outskirts-east-limgrave,base-game,' ',1.0
Map: Limgrave East,Map,' ',,,East Limgrave,"Head East from the Mistwood Outskirts SoG. You can go into your map and mark the ""glowing pillar"" to make this easier to find",Base Game,map-limgrave-east-east-limgrave,base-game,' ',1.0
Nomadic Warrior's Cookbook 4,Cookbook,' ',,,East Limgrave,"West from Map: Limgrave East, near a Runebear scratching a tree",Base Game,nomadic-warrior-s-cookbook-4-east-limgrave,base-game,' ',1.0
Ash of War: Ground Slam,Ash of War,' ',,,East Limgrave,"Head South/Southwest from the Nomadic Warrior's Cookbook 4, to the right of the Minor Erdtree, and kill the scarab",Base Game,ash-of-war-ground-slam-east-limgrave,base-game,' ',1.0
Minor Erdtree,SoG/Location,' ',,,East Limgrave,South/Southeast of the Map: Limgrave East locaiton. Look for the massive tree,Base Game,minor-erdtree-east-limgrave,base-game,' ',1.0
Spiked Cracked Tear,Crystal Tear,' ',,,East Limgrave,Found near Minor Erdtree in East Limgrave,Base Game,spiked-cracked-tear-east-limgrave,base-game,' ',1.0
Greenspill Crystal Tear,Crystal Tear,' ',,,East Limgrave,Found near Minor Erdtree in East Limgrave,Base Game,greenspill-crystal-tear-east-limgrave,base-game,' ',1.0
Siofra River Well,SoG/Location,' ',,,East Limgrave,"North of Minor Erdtree and East of the map. Look for building and go down well, activate SoG, then come back up",Base Game,siofra-river-well-east-limgrave,base-game,' ',1.0
Siofra River Well Depths,SoG/Location,' ',Siofra River,,,Found at the bottom of the Siofra River Well lift,Base Game,siofra-river-well-depths-siofra-river,base-game,' ',1.0
Mistwood Ruins,SoG/Location,' ',,,East Limgrave,"South/Southwest of where you picked up the map, along the road. You will hear howling when you get close, this is Blaidd and necessary later. There is a chest that contains a Smithing Stone 2",Base Game,mistwood-ruins-east-limgrave,base-game,' ',1.0
Howl,Event,' ',,,East Limgrave,"in the Mistwood Ruins, you should hear a howl. Once you hear it, warp back to Church of Elleh",Base Game,howl-east-limgrave,base-game,' ',1.0
Finger Snap,Gesture,' ',,,West Limgrave,Given by Kale in Church of Elleh after hearing the Howl in the Mistwood Ruins,Base Game,finger-snap-west-limgrave,base-game,' ',1.0
Blaidd,NPC,' ',,,East Limgrave,"Go back to the Mistwood Ruins, then use the snap gesture near where you heard the Howl. You can see Blaidd on top of a tower in the ruins and he will jump down. Exhaust his dialogue",Base Game,blaidd-east-limgrave,base-game,' ',1.0
Axe Talisman,Talisman,' ',,,East Limgrave,Underground beneath the Mistwood Ruins,Base Game,axe-talisman-east-limgrave,base-game,' ',1.0
Sacrificial Twig,Talisman,' ',,,East Limgrave,Found West of Mistwood Ruins in front of a large gravestone near a cliff,Base Game,sacrificial-twig-east-limgrave,base-game,' ',1.0
Agheel Lake South,SoG/Location,' ',,,West Limgrave,"From Agheel Lake North SoG, head South and cross the bridge, then head South along the East edge of the lake and past the giant crab",Base Game,agheel-lake-south-west-limgrave,base-game,' ',1.0
Larval Tear,Key Item,' ',,,West Limgrave,"From Agheel Lake South SoG, head East to find a Wandering Noble enemy. They will transform into a Lesser Runebear. Drops this if killed",Base Game,larval-tear-west-limgrave,base-game,' ',1.0
Forlorn Hound Evergaol,Evergaol,' ',,,West Limgrave,"From Agheel Lake South SoG, head South and enter the Evergaol (glowing purple insignia on the ground). Summon Blaidd",Base Game,forlorn-hound-evergaol-west-limgrave,base-game,' ',1.0
Bloodhound Knight Darriwil,Boss,' ',,,West Limgrave,Found in Forlorn Hound Evergaol. Drops the Bloodhound's Fang weapon,Base Game,bloodhound-knight-darriwil-west-limgrave,base-game,' ',1.0
Bloodhound's Fang,Curved Greatsword,' ',,,West Limgrave,Received from defeating Bloodhound Knight Darriwil in the Forlorn Hound Evergaol. This is a decent weapon to use as it has bleed and can make most of the game easier,Base Game,bloodhound-s-fang-west-limgrave,base-game,' ',1.0
Blaidd,NPC,' ',,,West Limgrave,"Once you beat Bloodhound Knight Darriwil in the Forlorn Hound Evergaol, speak to Blaidd. He will give you a Somber Smithing Stone 2",Base Game,blaidd-west-limgrave,base-game,' ',1.0
Large Club,Great Hammer,' ',,,West Limgrave,"South from Forlorn Hound Evergaol, lowest cliff near spiritspring",Base Game,large-club-west-limgrave,base-game,' ',1.0
Kenneth Haight,NPC,' ',,,East Limgrave,"Northeast from Mistwood Outskirts SoG, on top of the ruin platform",Base Game,kenneth-haight-east-limgrave,base-game,' ',1.0
Fevor's Cookbook 1,Cookbook,' ',,,East Limgrave,"North from Kenneth near the graves, you need to go up from where Kenneth is",Base Game,fevor-s-cookbook-1-east-limgrave,base-game,' ',1.0
Third Church of Marika,SoG/Location,' ',,,East Limgrave,Northeast from Mistwood Outskirts SoG and past Kenneth,Base Game,third-church-of-marika-east-limgrave,base-game,' ',1.0
Melina,NPC,' ',,,East Limgrave,Third Church of Marika SoG. Exhaust Dialogue,Base Game,melina-east-limgrave,base-game,' ',1.0
Sacred Tear,Flask,' ',,,East Limgrave,Found in Third Church of Marika,Base Game,sacred-tear-east-limgrave,base-game,' ',1.0
Flask of Wondrous Physick,Key Item,' ',,,East Limgrave,Found in Third Church of Marika,Base Game,flask-of-wondrous-physick-east-limgrave,base-game,' ',1.0
Crimson Crystal Tear,Crystal Tear,' ',,,East Limgrave,Found in Third Church of Marika,Base Game,crimson-crystal-tear-east-limgrave,base-game,' ',1.0
Ash of War: Sacred Blade,Ash of War,' ',,,East Limgrave,"From the Third Church of Marika, go across the water and up the hill to the right. Kill the Scarab",Base Game,ash-of-war-sacred-blade-east-limgrave,base-game,' ',1.0
Stormfoot Catacombs,SoG/Location,' ',,,West Limgrave,Return to the Church of Elleh and head Northwest. This will be tucked away behind some boulders. Go through the door. You can shoot the fire shooting pillars with an arrow to lower them. Has Grave Glovewort 1 and Ghost Glovewort 1,Base Game,stormfoot-catacombs-west-limgrave,base-game,' ',1.0
Ghost,Ghost,' ',,,Stormfoot Catacombs,Found in a chair just past the Stormfoot Catacombs SoG. Typically these ghosts can be ignored but they do offer up pieces of lore,Base Game,ghost-stormfoot-catacombs,base-game,' ',1.0
Prattling Pate (Hello),Key Item,' ',,,Stormfoot Catacombs,"Move through catacombs, found after first fire shooting pillar",Base Game,prattling-pate-hello-stormfoot-catacombs,base-game,' ',1.0
Wandering Noble Ashes,Spirit Ashes,' ',,,Stormfoot Catacombs,"After fire pillars and going up the ladder, in room straight ahead",Base Game,wandering-noble-ashes-stormfoot-catacombs,base-game,' ',1.0
Erdtree Burial Watchdog,Boss,' ',,,Stormfoot Catacombs,Drops the Noble Sorcerer Ashes,Base Game,erdtree-burial-watchdog-stormfoot-catacombs,base-game,' ',1.0
Noble Sorcerer Ashes,Spirit Ashes,' ',,,Stormfoot Catacombs,Dropped by Erdtree Burial Watchdog,Base Game,noble-sorcerer-ashes-stormfoot-catacombs,base-game,' ',1.0
Groveside Cave,SoG/Location,' ',,,West Limgrave,"North from Curch of Elleh, in the forest along the cliff face",Base Game,groveside-cave-west-limgrave,base-game,' ',1.0
Cracked Pot,Consumable,' ',,,Groveside Cave,Found on a corpse just past the entrance of the cave,Base Game,cracked-pot-groveside-cave,base-game,' ',1.0
Beastman of Farum Azula,Boss,' ',,,Groveside Cave,Drops the Flamedrake Talisman,Base Game,beastman-of-farum-azula-groveside-cave,base-game,' ',1.0
Flamedrake Talisman,Talisman,' ',,,Groveside Cave,Dropped by Beastman of Farum Azula,Base Game,flamedrake-talisman-groveside-cave,base-game,' ',1.0
Night's Cavalry,Boss,' ',,,West Limgrave,"Head Southeast from Agheel Lake North SoG, at night, you can find this boss roaming the bridge. He will drop the Ash of War: Repeating Thrust. Can be a difficult fight this early, you can return to this step later if you need",Base Game,night-s-cavalry-west-limgrave,base-game,' ',1.0
Ash of War: Repeating Thrust,Ash of War,' ',,,West Limgrave,Received from defeating the Night's Cavalry boss in West Limgrave,Base Game,ash-of-war-repeating-thrust-west-limgrave,base-game,' ',1.0
Waypoint Ruins,SoG/Location,' ',,,West Limgrave,"Return to Agheel Lake North SoG, then head Southeast, across the bridge, then Southeast",Base Game,waypoint-ruins-west-limgrave,base-game,' ',1.0
Mad Pumpkin Head,Boss,' ',,,Waypoint Ruins,In the cellar at Waypoint Ruins,Base Game,mad-pumpkin-head-waypoint-ruins,base-game,' ',1.0
Waypoint Ruins Cellar,SoG/Location,' ',,,Waypoint Ruins,"After Mad Pumpkin Head boss in the Waypoint Ruins, this SoG will appear",Base Game,waypoint-ruins-cellar-waypoint-ruins,base-game,' ',1.0
Sorceress Sellen,NPC,' ',,,Waypoint Ruins,"After Mad Pumpkin Head boss in the next room, under the Waypoint Ruins. Accept to become her apprentice to buy sorceries. If you purchase a sorcery from her, she will have an additional dialogue option in the menu",Base Game,sorceress-sellen-waypoint-ruins,base-game,' ',1.0
Nod in Thought,Gesture,' ',,,Waypoint Ruins,After speaking to Sorceress Sellen and becoming her apprentice,Base Game,nod-in-thought-waypoint-ruins,base-game,' ',1.0
Glintstone Pebble,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,glintstone-pebble-waypoint-ruins,base-game,' ',1.0
Glintstone Stars,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,glintstone-stars-waypoint-ruins,base-game,' ',1.0
Glintstone Arc,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,glintstone-arc-waypoint-ruins,base-game,' ',1.0
Crystal Barrage,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,crystal-barrage-waypoint-ruins,base-game,' ',1.0
Scholar's Armament,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,scholar-s-armament-waypoint-ruins,base-game,' ',1.0
Scholar's Shield,Sorcery,' ',,,Waypoint Ruins,Sold by Sellen,Base Game,scholar-s-shield-waypoint-ruins,base-game,' ',1.0
Greataxe,Greataxe,' ',,,West Limgrave,"Near Waypoint Ruins, reload area just outside to find caravan. Attack giants and grab weapon from the chest in the wagon",Base Game,greataxe-west-limgrave,base-game,' ',1.0
Ash of War: Unsheathe,Ash of War,' ',,,West Limgrave,"Southeast part of the Agheel Lake, guarded by giant crabs. Easiest to come at this from the Agheel Lake South SoG",Base Game,ash-of-war-unsheathe-west-limgrave,base-game,' ',1.0
Royal House Scroll,Scroll,' ',,,West Limgrave,Unnamed enemy camp near the Agheel Lake South site of grace. On top of a building near the sorcerer shooting spells. ONLY GIVE TO TURTLE AT CHURCH OF VOWS,Base Game,royal-house-scroll-west-limgrave,base-game,' ',1.0
Great Epee,Heavy Thrusting Sword,' ',,,West Limgrave,Unnamed Enemy Camp near the Agheel Lake South SoG. In a chest,Base Game,great-epee-west-limgrave,base-game,' ',1.0
Starlight Shard,Key Item,' ',,,West Limgrave,Southeast from camp in previous step. NOTE: It would be worth saving this pickup until you've progressed in Seluvis' quest later in the guide,Base Game,starlight-shard-west-limgrave,base-game,' ',1.0
Yura,NPC,' ',,,West Limgrave,"Directly West of Agheel Lake South SoG, under archway. Exhaust dialogue",Base Game,yura-west-limgrave,base-game,' ',1.0
Seaside Ruins,SoG/Location,' ',,,West Limgrave,Directly West of Agheel Lake South SoG,Base Game,seaside-ruins-west-limgrave,base-game,' ',1.0
Ash of War: Gravitas,Ash of War,' ',,,West Limgrave,"From Seaside Ruins SoG, head to the cliff edge West of the SoG, and carefully descend while on Torrent. Kill the pale giant enemy at the bottom to obtain",Base Game,ash-of-war-gravitas-west-limgrave,base-game,' ',1.0
Haligdrake Talisman,Talisman,' ',,,West Limgrave,North part of the beach after descending from the Seaside Ruins SoG and fighting the pale giant enemy. Go through cave. This will return you to the Cave of Knowledge,Base Game,haligdrake-talisman-west-limgrave,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,West Limgrave,"From the Agheel Lake South SoG, head South/Southeast along the road between the cliff edges. Will be at the other end of the Bridge of Sacrifice",Base Game,stonesword-key-west-limgrave,base-game,' ',1.0
Bridge of Sacrifice,SoG/Location,' ',,,West Limgrave,"South/Southeast from the Agheel Lake South SoG, across the Bridge of Sacrifice (location)",Base Game,bridge-of-sacrifice-west-limgrave,base-game,' ',1.0
Irina,NPC,' ',,,West Limgrave,Just East of Bridge of Sacrifice SoG. Exhaust Dialogue. Receive Irina's Letter,Base Game,irina-west-limgrave,base-game,' ',1.0
Irina's Letter,Quest Item,' ',,,West Limgrave,Received after speaking to Irina at Bridge of Sacrifice,Base Game,irina-s-letter-west-limgrave,base-game,' ',1.0
Dragon-Burnt Ruins,SoG/Location,' ',,,Agheel Lake,"Return to Seaside Ruins SoG, then head North. Located in the South part of Agheel Lake",Base Game,dragon-burnt-ruins-agheel-lake,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Dragon-Burnt Ruins,Base of a small tower guarded by a rat,Base Game,stonesword-key-dragon-burnt-ruins,base-game,' ',1.0
Twinblade,Twinblade,' ',,,Dragon-Burnt Ruins,Chest underground in the ruins. You need Torrent to jump over part of the ruins to access this,Base Game,twinblade-dragon-burnt-ruins,base-game,' ',1.0
Trapped Chest - To Caelid/Dragonbarrow,Shortcut,' ',,,Dragon-Burnt Ruins,"Trapped chest is underground. Do not stay in the new area. Run to the site of grace, then run outside to warp out",Base Game,trapped-chest-to-caelid-dragonbarrow-dragon-burnt-ruins,base-game,' ',1.0
Flying Dragon Agheel,Boss,' ',,,Agheel Lake,Return to the First Step SoG and head East to Agheel Lake. Found in the center of the lake after you reach the large fire with enemies nearby. Use Torrent. Drops a Dragon Heart,Base Game,flying-dragon-agheel-agheel-lake,base-game,' ',1.0
Yura,Summon,' ',,,Agheel Lake,"NOTE: If you die to Flying Dragon Agheel, you can speak to Yura again and then his summon sign will appear next to the stake of Marika",Base Game,yura-agheel-lake,base-game,' ',1.0
Dragon Heart,Key Item,' ',,,Agheel Lake,Dropped by Flying Dragon Agheel. Used to get Dragon Incantations,Base Game,dragon-heart-agheel-lake,base-game,' ',1.0
Limgrave Tunnels,SoG/Location,' ',,,Agheel Lake,Northwest part of Agheel Lake. Contains Smithing Stone 1 and Somber Smithing Stone 1,Base Game,limgrave-tunnels-agheel-lake,base-game,' ',1.0
Stonedigger Troll,Boss,' ',,,Limgrave Tunnels,Drops the Roar Medallion,Base Game,stonedigger-troll-limgrave-tunnels,base-game,' ',1.0
Roar Medallion,Talisman,' ',,,Limgrave Tunnels,Dropped by the Stonedigger Troll in the Limgrave Tunnels,Base Game,roar-medallion-limgrave-tunnels,base-game,' ',1.0
Bloody Finger Nerijus,Invader,' ',,,Agheel Lake,"Head North from the Agheel Lake South SoG and continue into the canyon. You will get invaded. Yura will join this fight, DO NOT LET HIM DIE",Base Game,bloody-finger-nerijus-agheel-lake,base-game,' ',1.0
Reduvia,Dagger,' ',,,Agheel Lake,Received from defeating Bloody Finger Nerijus,Base Game,reduvia-agheel-lake,base-game,' ',1.0
Murkwater Cave,SoG/Location,' ',,,Agheel Lake,"Follow the river in the Northeast part of the Agheel Lake, near where you fought Bloody Finger Nerijus Invader",Base Game,murkwater-cave-agheel-lake,base-game,' ',1.0
Cloth Garb,Armor Set - Partial,' ',,,Murkwater Cave,In a chest in the room. Grab this to trigger boss fight. This is part of the Guilty Set,Base Game,cloth-garb-murkwater-cave,base-game,' ',1.0
Cloth Trousers,Armor Set - Partial,' ',,,Murkwater Cave,In a chest in the room. Grab this to trigger boss fight. This is part of the Guilty Set,Base Game,cloth-trousers-murkwater-cave,base-game,' ',1.0
Patches,Boss,' ',,,Murkwater Cave,"DO NOT KILL HIM. When he begs for mercy, stop attacking",Base Game,patches-murkwater-cave,base-game,' ',1.0
Grovel for Mercy,Gesture,' ',,,Murkwater Cave,Received from Patches,Base Game,grovel-for-mercy-murkwater-cave,base-game,' ',1.0
Margit's Shackle,Key Item,' ',,,Murkwater Cave,Sold by Patches,Base Game,margit-s-shackle-murkwater-cave,base-game,' ',1.0
Parrying Dagger,Dagger,' ',,,Murkwater Cave,Sold by Patches,Base Game,parrying-dagger-murkwater-cave,base-game,' ',1.0
Horse Crest Wooden Shield,Medium Shield,' ',,,Murkwater Cave,Sold by Patches,Base Game,horse-crest-wooden-shield-murkwater-cave,base-game,' ',1.0
Stonesword Key,Key Item,' ',,,Murkwater Cave,Sold by Patches,Base Game,stonesword-key-murkwater-cave,base-game,' ',1.0
Missionary's Cookbook 2,Cookbook,' ',,,Murkwater Cave,Sold by Patches,Base Game,missionary-s-cookbook-2-murkwater-cave,base-game,' ',1.0
Sacrificial Twig,Talisman,' ',,,Murkwater Cave,"Sold by Patches, sells 1",Base Game,sacrificial-twig-murkwater-cave,base-game,' ',1.0
Open the Chest,Event,' ',,,Murkwater Cave,"Open the chest near Patches after reloading and making him a merchant. This will be trapped, teleporting you to the Mistwood. Make your way back to Murkwater Cave immediately",Base Game,open-the-chest-murkwater-cave,base-game,' ',1.0
Calm Down!,Gesture,' ',,,Murkwater Cave,Received from Patches after activating the trapped chest in Murkwater Cave. Must have defeated him without killing him,Base Game,calm-down-murkwater-cave,base-game,' ',1.0
Murkwater Catacombs,SoG/Location,' ',,,Agheel Lake,"From Murkwater Cave, continue to the end of the canyon, found through a door. Contains Ghost Glovewort 1 and Grave Glovewort 1",Base Game,murkwater-catacombs-agheel-lake,base-game,' ',1.0
Grave Warden Duelist,Boss,' ',,,Murkwater Catacombs,Drops the Banished Knight Engvall Ashes,Base Game,grave-warden-duelist-murkwater-catacombs,base-game,' ',1.0
Banished Knight Engvall Ashes,Spirit Ashes,' ',,,Murkwater Catacombs,Dropped by Grave Warden Duelist,Base Game,banished-knight-engvall-ashes-murkwater-catacombs,base-game,' ',1.0
Tree Sentinel,Boss,' ',,,West Limgrave,Return to Church of Elleh. This is the giant on the horse roaming outside the church. Drops the Golden Halberd,Base Game,tree-sentinel-west-limgrave,base-game,' ',1.0
Golden Halberd,Halberd,' ',,,West Limgrave,Dropped by Tree Sentinel,Base Game,golden-halberd-west-limgrave,base-game,' ',1.0
Ash of War: Stamp Sweep,Ash of War,' ',,,West Limgrave,"From the Church of Elleh, head West and downhill until you find the beach with Land Octopus enemies. You'll find a light trail indicating there is an invisible scarab. Kill it to receive this ash of war",Base Game,ash-of-war-stamp-sweep-west-limgrave,base-game,' ',1.0
Coastal Merchant,NPC,' ',,,West Limgrave,"Head West from the Church of Elleh SoG and down to the beach, then head South until you pass the Coastal Cave and find the merchant under a rock structure. Has 3 Smithing Stone 1. Kill for Nomadic Merchant's Bell Bearing 3",Base Game,coastal-merchant-west-limgrave,base-game,' ',1.0
Nomadic Merchant's Bell Bearing 3,Bell Bearing,' ',,,West Limgrave,Kill Coastal Merchant on the West beaches of Limgrave,Base Game,nomadic-merchant-s-bell-bearing-3-west-limgrave,base-game,' ',1.0
Club,Hammer,' ',,,West Limgrave,Sold by merchant on the beach,Base Game,club-west-limgrave,base-game,' ',1.0
Broadsword,Straight Sword,' ',,,West Limgrave,Sold by merchant on the beach,Base Game,broadsword-west-limgrave,base-game,' ',1.0
Shortbow,Light Bow,' ',,,West Limgrave,Sold by merchant on the beach,Base Game,shortbow-west-limgrave,base-game,' ',1.0
Iron Roundshield,Small Shield,' ',,,West Limgrave,Sold by merchant on the beach,Base Game,iron-roundshield-west-limgrave,base-game,' ',1.0
Armorer's Cookbook 2,Cookbook,' ',,,West Limgrave,Sold by merchant on the beach,Base Game,armorer-s-cookbook-2-west-limgrave,base-game,' ',1.0
Coastal Cave,SoG/Location,' ',,,West Limgrave,"From the First Step SoG, make your way West and down the slopes to find the cave on the beach",Base Game,coastal-cave-west-limgrave,base-game,' ',1.0
Boc,NPC,' ',,,Coastal Cave,Speak to him near the grace,Base Game,boc-coastal-cave,base-game,' ',1.0
Old Knight Istvan,Summon,' ',,,Coastal Cave,Right before boss,Base Game,old-knight-istvan-coastal-cave,base-game,' ',1.0
Demi-Human Chiefs,Boss,' ',,,Coastal Cave,Defeat to receive Sewing Needle and Tailoring Tools,Base Game,demi-human-chiefs-coastal-cave,base-game,' ',1.0
Sewing Needle,Key Item,' ',,,Coastal Cave,Received from Demi-Human Chiefs boss. Give to Boc,Base Game,sewing-needle-coastal-cave,base-game,' ',1.0
Tailoring Tools,Key Item,' ',,,Coastal Cave,Received from Demi-Human Chiefs boss. Used for altering clothes,Base Game,tailoring-tools-coastal-cave,base-game,' ',1.0
Church of Dragon Communion,SoG/Location,' ',,,Coastal Cave,Continue through the tunnel in the Coastal Cave where you found the Demi-Human Chief bosses. Used for offering Dragon Hearts to get special Incantations,Base Game,church-of-dragon-communion-coastal-cave,base-game,' ',1.0
